Module,Lesson,Video Title,Duration,Vimeo URL,Uploaded?
Module 0,0.1,Course Orientation,~12 min,,No
Module 0,0.2,Mindset Preparation,~12 min,,No
Module 1,1.1,What Drives Your Decisions,~15 min,,No
Module 1,1.2,Define Your Foundation,~12 min,,No
Module 1,1.3,Positives & Negatives,~15 min,,No
Module 1,1.4,Refine Your Foundation,~15 min,,No
Module 1,1.5,Business Foundation Fit,~12 min,,No
Module 2,2.1,Life Big Picture Elements,~15 min,,No
Module 2,2.2,"Flavours, Colours & Sounds",~12 min,,No
Module 2,2.3,Business Big Picture,~15 min,,No
Module 2,2.4,Write Business Objectives,~15 min,,No
Module 2,2.5,Assign Due Dates,~12 min,,No
Module 3,3.1,Write Present Schedule,~12 min,,No
Module 3,3.2,Foundation & Big Picture Alignment,~10 min,,No
Module 3,3.3,Eliminate Time-Wasters,~15 min,,No
Module 3,3.4,Commit to Business & Personal Time,~12 min,,No
Module 3,3.5,Rewrite New Schedule,~15 min,,No
Module 4,4.1,Product from Customer Perspective,~12 min,,No
Module 4,4.2,Price Your Product,~15 min,,No
Module 4,4.3,Design Delivery Channels,~15 min,,No
Module 4,4.4,Position in Customer Minds,~12 min,,No
Module 4,4.5,Plan Promotional Strategy,~15 min,,No
Module 5,5.1,Establish Revenues & Expenses,~15 min,,No
Module 5,5.2,Project Trends,~12 min,,No
Module 5,5.3,Predict Outcomes,~15 min,,No
Module 5,5.4,Cash Flow Plan,~15 min,,No
Module 5,5.5,Strategy for Profit,~15 min,,No
Module 6,6.1,Lead Generation Options,~15 min,,No
Module 6,6.2,Profile Target Market,~15 min,,No
Module 6,6.3,Message for Profiled Customer,~12 min,,No
Module 6,6.4,Match Media to Customers,~12 min,,No
Module 6,6.5,One-Year Lead Generation Strategy,~15 min,,No
Module 7,7.1,Turn Leads into Customers,~15 min,,No
Module 7,7.2,Customer Service Solutions,~15 min,,No
Module 7,7.3,Enhance Lifetime Customer Value,~12 min,,No
Module 7,7.4,Turn Customers into Evangelists,~15 min,,No
Module 7,7.5,Stay on Customer Radar,~15 min,,No
Module 8,8.1,Manage for Success,~15 min,,No
Module 8,8.2,Where You Need Help,~15 min,,No
Module 8,8.3,Long-Term Business Strengths,~12 min,,No
Module 8,8.4,Exit Strategy,~15 min,,No
Module 8,8.5,Action Plan & Wrap-Up,~20 min,,No
